doc_type,source_id,file_name,path_text,page_start,page_end,text_preview,embedding_preview
all_node,1.FCM內控-總則---114.04::1,1.FCM內控-總則---114.04.md,一、,1,1,一、 訂定依據： 「期貨商管理規則」第二條規定，期貨商應依期貨相關機構訂定之期貨商內部控制制度標準規範訂定內部控制制度。 本標準規範依據主管機關訂定之「證券暨期貨市場各服務事業建立內部控制制度處理準則」等相關法規編製而成。,"[-0.005560505669564009, -0.01408355962485075, -0.06042975187301636, 0.010142389684915543, 0.007690176833420992, -0.028863465413451195, -0.04611307382583618, 0.02981133945286274]"
all_node,1.FCM內控-總則---114.04::2,1.FCM內控-總則---114.04.md,二、,1,1,二、 本標準規範之使用：,"[-0.0228195171803236, 0.0014375888276845217, -0.018085217103362083, 0.04209674894809723, -0.0378207191824913, -0.03973842039704323, 0.01990911364555359, 0.005519961938261986]"
all_node,1.FCM內控-總則---114.04::2.1,1.FCM內控-總則---114.04.md,二、 > (一),1,1,(一) 內部控制制度之設計，須考量公司控制環境、風險評估、控制作業、資訊與溝通、監督作業等控制因素訂定。本標準規範 主要目的在提供形式上的範例，供各期貨商編製內部控制制度時之參考；至於實質內容，由於各期貨商規模大小、組織架 構、管理方式不一，故本標準規範僅就該制度之控制重點作原則性規範，對各相關之內部管理控制用之規章、辦法、要點， 如員工管理規則、印鑑使用管,"[-0.0161549374461174, -0.0026553820353001356, -0.06781789660453796, -0.007674040272831917, 0.000741223047953099, -0.04602441564202309, -0.035163577646017075, 0.03534629940986633]"
all_node,1.FCM內控-總則---114.04::2.2,1.FCM內控-總則---114.04.md,二、 > (二),1,1,(二) 各期貨商自訂之內部控制制度，其作業程序及控制重點至少應包括本標準規範所訂內容，並得視公司本身經營狀況自行增 列控制重點，惟自行增列部分，不得違反相關法令規章等規定。爾後如有法令增、修訂或公司內、外在情況變動等情事， 應即配合檢討、修正其內部控制制度內容，以確保制度之完整性及有效性。,"[-0.010912743397057056, 0.0050292108207941055, -0.033631332218647, 0.01771872118115425, -0.01604587957262993, -0.024449311196804047, -0.021528303623199463, 0.017764028161764145]"
all_node,1.FCM內控-總則---114.04::2.3,1.FCM內控-總則---114.04.md,二、 > (三),1,1,(三) 各期貨商執行業務不得違反法令、規章、內部控制制度及與委託人簽訂之受託契約等規定。,"[0.000851763819810003, -0.017485633492469788, -0.03912424296140671, -0.02976447343826294, -0.01920222118496895, 0.005750300362706184, -0.025271248072385788, -0.018297474831342697]"
all_node,1.FCM內控-總則---114.04::2.4,1.FCM內控-總則---114.04.md,二、 > (四),1,1,(四) 本標準規範中各單位名稱簡稱如下：,"[0.0022804969921708107, 0.010846647433936596, -0.0464145690202713, 0.025068234652280807, -0.0026610607746988535, -0.09199606627225876, 0.029016505926847458, -0.02351832203567028]"
all_node,1.FCM內控-總則---114.04::2.4.1,1.FCM內控-總則---114.04.md,二、 > (四) > 1.,1,1,1. 金融監督管理委員會：主管機關,"[0.016918828710913658, -0.02107662335038185, 0.0002938253746833652, -0.014716449193656445, 0.009718534536659718, -0.03254183381795883, 0.04446417838335037, -0.024840280413627625]"
all_node,1.FCM內控-總則---114.04::2.4.2,1.FCM內控-總則---114.04.md,二、 > (四) > 2.,1,2,2. 臺灣期貨交易所股份有限公司：期交所,"[0.007897431030869484, -0.0017456940840929747, -0.037749357521533966, 0.02013300359249115, -0.018068039789795876, -0.015760790556669235, 0.029911654070019722, 0.034477151930332184]"
all_node,1.FCM內控-總則---114.04::2.4.3,1.FCM內控-總則---114.04.md,二、 > (四) > 3.,2,2,3. 中華民國期貨業商業同業公會：期貨公會,"[0.0012697201455011964, 0.010000945068895817, -0.05249866470694542, -0.0017134887166321278, -0.019346361979842186, -0.014645124785602093, 0.03661343455314636, 0.013946373015642166]"
all_node,1.FCM內控-總則---114.04::2.4.4,1.FCM內控-總則---114.04.md,二、 > (四) > 4.,2,2,4. 財團法人證券暨期貨發展基金會：證基會,"[0.01039591059088707, 0.021029477939009666, -0.03793931007385254, 0.01365459430962801, -0.013860351406037807, -0.0175341684371233, 0.021382076665759087, -0.008266559801995754]"
all_node,1.FCM內控-總則---114.04::2.4.5,1.FCM內控-總則---114.04.md,二、 > (四) > 5.,2,2,5. 臺灣證券交易所股份有限公司：證交所,"[0.0317290797829628, -0.02258051000535488, -0.02788211777806282, 0.018302470445632935, -0.002000375185161829, -0.014815968461334705, 0.028212957084178925, 0.00850759819149971]"
