doc_type,source_id,file_name,path_text,page_start,page_end,text_preview,embedding_preview
leaf,1.FCM內控-總則---114.04::1,1.FCM內控-總則---114.04.md,一、,1,1,文件 1.FCM內控-總則---114.04.md  一、 訂定依據： 「期貨商管理規則」第二條規定，期貨商應依期貨相關機構訂定之期貨商內部控制制度標準規範訂定內部控制制度。 本標準規範依據主管機關訂定之「證券暨期貨市場各服務事業建立內部控制制度處理準則」等相關法規編製而成。,"[-0.0081013273447752, -0.026876699179410934, -0.06775582581758499, 0.004035343881696463, 0.01194911077618599, -0.03238542750477791, -0.05223296210169792, 0.010249531827867031]"
leaf,1.FCM內控-總則---114.04::2.1,1.FCM內控-總則---114.04.md,二、 > (一),1,1,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (一) 內部控制制度之設計，須考量公司控制環境、風險評估、控制作業、資訊與溝通、監督作業等控制因素訂定。本標準規範 主要目的在提供形式上的範例，供各期貨商編製內部控制制度時之參考；至於實質內容，由於各期貨商規模大小、組織架 構、管理方式不一，故本標準規範僅就該制度之控制重點作原,"[-0.022506380453705788, -0.005310629028826952, -0.08433008193969727, 0.002545884344726801, -0.0037408953066915274, -0.0389862060546875, -0.02948584593832493, 0.011165323667228222]"
leaf,1.FCM內控-總則---114.04::2.2,1.FCM內控-總則---114.04.md,二、 > (二),1,1,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (二) 各期貨商自訂之內部控制制度，其作業程序及控制重點至少應包括本標準規範所訂內容，並得視公司本身經營狀況自行增 列控制重點，惟自行增列部分，不得違反相關法令規章等規定。爾後如有法令增、修訂或公司內、外在情況變動等情事， 應即配合檢討、修正其內部控制制度內容，以確保制度之完整,"[-0.007252065930515528, -0.0046583800576627254, -0.06046176329255104, 0.010507610626518726, -0.014614786952733994, -0.03148968517780304, -0.017124103382229805, 0.004086465109139681]"
leaf,1.FCM內控-總則---114.04::2.3,1.FCM內控-總則---114.04.md,二、 > (三),1,1,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (三) 各期貨商執行業務不得違反法令、規章、內部控制制度及與委託人簽訂之受託契約等規定。,"[0.014104391448199749, -0.019686779007315636, -0.06889835000038147, -0.01028428040444851, -0.026301413774490356, -0.009531283751130104, -0.03382137045264244, -0.006969202775508165]"
leaf,1.FCM內控-總則---114.04::2.4.1,1.FCM內控-總則---114.04.md,二、 > (四) > 1.,1,1,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  1. 金融監督管理委員會：主管機關,"[0.010905489325523376, -0.008230291306972504, -0.05165098235011101, -0.014362174086272717, -0.009170065633952618, -0.0557524636387825, 7.858225217205472e-06, -0.033303793519735336]"
leaf,1.FCM內控-總則---114.04::2.4.2,1.FCM內控-總則---114.04.md,二、 > (四) > 2.,1,2,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  2. 臺灣期貨交易所股份有限公司：期交所,"[0.023345790803432465, -0.010239430703222752, -0.08018998056650162, 0.010296021588146687, -0.019619163125753403, -0.05638011917471886, -0.005949527956545353, -0.0044201938435435295]"
leaf,1.FCM內控-總則---114.04::2.4.3,1.FCM內控-總則---114.04.md,二、 > (四) > 3.,2,2,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  3. 中華民國期貨業商業同業公會：期貨公會,"[0.004387996159493923, 0.0064395698718726635, -0.0821036696434021, 0.014431762509047985, -0.02676592394709587, -0.05915994942188263, -0.00806792825460434, -0.015912514179944992]"
leaf,1.FCM內控-總則---114.04::2.4.4,1.FCM內控-總則---114.04.md,二、 > (四) > 4.,2,2,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  4. 財團法人證券暨期貨發展基金會：證基會,"[0.014834153465926647, -0.008117343299090862, -0.06706376373767853, 0.003506042994558811, -0.022086748853325844, -0.06598152220249176, -0.007106252945959568, -0.025974294170737267]"
leaf,1.FCM內控-總則---114.04::2.4.5,1.FCM內控-總則---114.04.md,二、 > (四) > 5.,2,2,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  5. 臺灣證券交易所股份有限公司：證交所,"[0.01537842396646738, -0.02630954422056675, -0.071564681828022, 0.009094906970858574, -0.017282946035265923, -0.04923709109425545, -0.011146677657961845, -0.024268215522170067]"
leaf,1.FCM內控-總則---114.04::2.4.6,1.FCM內控-總則---114.04.md,二、 > (四) > 6.,2,2,文件 1.FCM內控-總則---114.04.md  二、 本標準規範之使用：  (四) 本標準規範中各單位名稱簡稱如下：  6. 財團法人中華民國會計研究發展基金會：會基會,"[0.027239402756094933, -0.018607554957270622, -0.06908067315816879, -0.009673114866018295, -0.029743939638137817, -0.07298529893159866, 0.008374817669391632, -0.04181583598256111]"
